ID,Name,Price
S00001,Haircut,5000
S00002,Hair Styling,2250
S00003,Premium Bleach and Color,6000
S00004,Premium Color,3000
S00005,Hair Rebonding,5000
S00006,Brazilian Blowout,10000
S00007,Keratin Treatment,1500
S00008,Traditional Hot Oil,5000
S00009,Cellophane Hair Spa,6000
S00010,Scalp Detox,3000
S00011,Deep Hydration Hair Mask,2250
S00012,Classic Manicure,6000
S00013,Classic Pedicure,6000
S00014,Callus-Removal Foot Spa,1500
S00015,Gel Nail Extension,4000
S00016,Eyebrow Threading,3000
S00017,Eyebrow Tinting,1000
S00018,Eyelash Extensions,6000
S00019,Gluta IV Drip,4000
S00020,Vitamin C Push,1000
S00021,Underarm Waxing,3000
S00022,Brazilian Waxing,750
S00023,Bikini Waxing,10000
S00024,Leg Waxing,4000
S00025,Full-Body Waxing,7500
I00001,Professional Hair Shears,250
I00002,Thinning Scissors,750
I00003,Electric Hair Clippers,750
I00004,Trimmer,2000
I00005,Sectioning Clips,500
I00006,Tail Comb,2500
I00007,Wide-Tooth Comb,1000
I00008,Round Brush,1000
I00009,Paddle Brush,2500
I00010,Blow Dryer,2000
I00011,Flat Iron,1500
I00012,Curling Wand,1500
I00013,Hair Color Brush,2000
I00014,Mixing Bowl,1500
I00015,Highlighting Foil,750
I00016,Disposable Cape,1000
I00017,Neck Strip,2000
I00018,Bleach Powder,1000
I00019,Developer (Vol 20/30),2500
I00020,Hair Glaze/Toner,250
